Name,Value,Units,Notes
k_cell_clear,0.1,1/day,"Rate of dead cell clearance from tumour compartment (estimated)"
cell,1,cell,"unit parameter for calculation"
day,1,day,"unit parameter for calculation"
vol_cell,1288.24933751266,micrometer^3/cell,"Average volume of cancer cell Volume of a cancer cell calculated based on cancer cell diameter (Abramczyk 2015, PMID: 25730442)"
vol_Tcell,175.015709799539,micrometer^3/cell,"Average volume of T cells Volume of a T cell calculated based on the average T cell diameter (Chapman 1981, PMID: 6975780)"
Ve_T,1,dimensionless,"Intracellular fraction of the tumor (Finley 2012, PMID: 22547351)"
C_total,4138592193.29205,cell,"Total number of cancer cells"
T_total,557040453.144723,cell,"Total number of activated T cells in tumor"
T_total_LN,72302420.3896734,cell,"Total number of activated T cells in TDLNs"
R_Tcell,735570.932717044,cell/day,"Rate of cancer cell death"
Tregs_,454377817.425829,cell,"Total number of activated T cells in TDLNs"
H_APC,0.732117094543368,dimensionless,"Hill function of mAPC for self-antigen-specific Treg activation"
H_mAPC,0.0128769190825326,dimensionless,"Hill function of mAPC for CD8 T cell activation"
H_APCh,0.971335432553279,dimensionless,"Hill function of mAPC for neoantigen-specific helper T cell activation"
H_PD1_C1,0.585515105253602,dimensionless,"Hill function of PDL1 on chemotherapy-sensitive tumor cells for T cell exhaustion"
H_PD1_APC,0.5880474389069,dimensionless,"Hill function of PDL1 on APC for T cell exhaustion"
H_CD28_C1,0.970666738425713,dimensionless,"Hill function of CD28 on tumor cells"
H_CD28_APC,0.955988470587492,dimensionless,"Hill function of CD28 on APCs for T cell activation"
k_C1_growth,0.0066,1/day,"Cancer growth rate: (Ryu 2014, PMID: 24895040; Desai 2006, PMID: 16489089)"
k_C1_death,0.0001,1/day,"Cancer death rate: (Palsson 2013, PMID: 24074340)"
C_max,490533430108.462,cell,"Carrying capacity: (Desai 2006, PMID: 16489089)"
k_C1_therapy,0,1/day,"Therapy-induced death rate"
initial_tumour_diameter,2.23,centimeter,"Pre-treatment tumor diameter"
k_K_g,7.37,1/day,""
k_K_d,8e-05,1/day,""
k_vas_Csec,0.00011,picogram/cell/day,""
k_vas_deg,16.6,1/day,""
c_vas_50,2410,picogram/milliliter,""
div_Treg,1160000,dimensionless,"T Cell Diversity (Robins 2009, PMID: 19706884)"
n_Treg_clones,63,dimensionless,"Number of self-antigen-specific T cell clones (estimated)"
q_nTreg_LN_in,0.1,1/day,"Rate of naive T cell transport into the LN  calculated based on the steady-state naive T cell level in healthy individuals (Autissier 2010, PMID: 20099249)"
q_Treg_LN_out,24,1/day,"Rate of activated T cell transport out of the LN (De Boer and Perelson 1995, PMID: 7475092)"
q_nTreg_LN_out,2.88,1/day,"Rate of naive T cell transport out of the LN (Mandl 2012, PMID: 23071319)"
k_Treg_act,5,1/day,"Treg activation rate (De Boer and Perelson 1995, PMID: 7475092; Robertson-Tessi 2012, PMID: 22051568)"
k_CD4_pro,1,1/day,"Treg proliferation rate (Marchingo 2014, PMID: 25430770)"
k_CD4_death,0.01,1/day,"Treg death rate (De Boer and Perelson 1995, PMID: 7475092)"
q_Treg_P_in,2.436,1/minute,"rate of Treg transport into the peripheral compartment calculated based on T cell transmigration rate (Zhu 1996, PMID: 8706023) and T cell adhesion density (Zhu 1996, PMID: 8706023)"
q_Treg_P_out,24,1/day,"rate of Treg transport out of the peripheral compartment (De Boer and Perelson 1995, PMID: 7475092)"
q_Treg_T_in,0.0001305,1/(centimeter^3*minute),"rate of Treg transport into the tumor compartment calculated based on T cell transmigration rate (Zhu 1996, PMID: 8706023) and T cell adhesion density (Zhu 1996, PMID: 8706023)"
q_nTreg_P_in,0.1764,1/minute,"rate of nTreg transport into the peripheral compartment calculated based on T cell transmigration rate (Zhu 1996, PMID: 8706023) and T cell adhesion density (Zhu 1996, PMID: 8706023)"
q_nTreg_P_out,5.1,1/day,"rate of nTreg transport out of the peripheral compartment  calculated based on steady-state naive T cell density in healthy individuals (Autissier 2010, PMID: 20099249)"
Q_nTreg_thym,70000000,cell/day,"Thymic output of nTreg (Bains 2009, PMID: 19179300; Yeh 2017, PMID: 28912973)"
k_nTreg_pro,320000000,cell/day,"rate of nTreg proliferation (Braber 2012, PMID: 22365666)"
K_nTreg_pro,1000000000,cell,"half-maximal peripheral proliferation of of nTreg (Braber 2012, PMID: 22365666)"
k_nTreg_death,0.003,1/day,"rate of nTreg death (Braber 2012, PMID: 22365666)"
k_IL2_deg,1,1/day,"rate of IL2 degradation (Lotze 1985, PMID: 3871099)"
k_IL2_cons,1e-07,nanomole/cell/day,"rate of IL2 consumption by T cells (Lotze 1985, PMID: 3871099)"
k_IL2_sec,0.0001,nanomole/cell/day,"rate of IL2 secretion from T cells (Han 2012, PMID: 22160692; Thurley 2015, PMID: 25923703; Liu 2001)"
IL2_50,0.1,nanomolarity,"T cell activation half-maximal IL2 concentration (Marchingo 2014, PMID: 25430770)"
IL2_50_Treg,0.1,nanomolarity,"Treg activation half-maximal IL2 concentration (Wang and Smith 1987, PMID: 3116143)"
w_IL2_CD8,0.3,dimensionless,"Relative fraction of IL2 that mature CD8+ T cells consume IL-2 consumption weight for CD8 cells (CD8 << Treg)"
w_IL2_Treg,1,dimensionless,"Relative fraction of IL2 that Tregs consume IL-2 consumption weight for Treg cells (Treg dominant)"
N0,2,dimensionless,"numer of activated T cell generation by TCR signaling only(Marchingo 2014, PMID: 25430770)"
N_costim,3,dimensionless,"numer of activated T cell generation by co-stimulatory signaling only (Marchingo 2014, PMID: 25430770)"
N_IL2_CD8,11,dimensionless,"maximum number of activated T cell generations due to IL2 (Marchingo 2014, PMID: 25430770)"
N_IL2_CD4,8.5,dimensionless,"maximum number of activated T cell generations due to IL2 (Marchingo 2014, PMID: 25430770)"
k_Treg,0.1,1/day,"Rate of T cell death by Tregs (estimated)"
H_P0,0.44781356416874,dimensionless,"Hill function of tumor antigenP0"
N_aT,15.2998019266752,dimensionless,"Number of Activated CD8+ T Cell Generations"
N_aT0,12.9289299914678,dimensionless,"Number of Activated Treg Generations"
div_CD8,3000,dimensionless,"T Cell Diversity (Robins 2009, PMID: 19706884)"
n_CD8_clones,5,dimensionless,"Number of tumor-specific T cell clones (Morisaki 2021 PMID: 34193879; Narang 2019, PMID: 30832597)"
q_nCD8_LN_in,0.05,1/day,"Rate of naive T cell transport into the LN  calculated based on the steady-state naive T cell level in healthy individuals (Autissier 2010, PMID: 20099249)"
q_CD8_LN_out,1,1/day,"Rate of activated T cell transport out of the LN (De Boer and Perelson 1995, PMID: 7475092)"
q_nCD8_LN_out,1.6,1/day,"Rate of naive T cell transport out of the LN (Mandl 2012, PMID: 23071319)"
k_CD8_act,1,1/day,"CD8 activation rate (De Boer and Perelson 1995, PMID: 7475092; Robertson-Tessi 2012, PMID: 22051568)"
k_CD8_pro,2,1/day,"CD8 proliferation rate (Marchingo 2014, PMID: 25430770)"
k_CD8_death,0.01,1/day,"CD8 death rate (De Boer and Perelson 1995, PMID: 7475092)"
q_CD8_P_in,1,1/day,"rate of CD8 transport into the peripheral compartment calculated based on T cell transmigration rate (Zhu 1996, PMID: 8706023) and T cell adhesion density (Zhu 1996, PMID: 8706023)"
q_CD8_P_out,1,1/day,"rate of CD8 transport out of the peripheral compartment (De Boer and Perelson 1995, PMID: 7475092)"
q_CD8_T_in,1e-07,1/(centimeter^3*day),"rate of CD8 transport into the tumor compartment calculated based on T cell transmigration rate (Zhu 1996, PMID: 8706023) and T cell adhesion density (Zhu 1996, PMID: 8706023)"
q_nCD8_P_in,0.033,1/minute,"rate of nCD8 transport into the peripheral compartment calculated based on T cell transmigration rate (Zhu 1996, PMID: 8706023) and T cell adhesion density (Zhu 1996, PMID: 8706023)"
q_nCD8_P_out,1,1/day,"rate of nCD8 transport out of the peripheral compartment  calculated based on steady-state naive T cell density in healthy individuals (Autissier 2010, PMID: 20099249)"
Q_nCD8_thym,1000000,cell/day,"Thymic output of nCD8 (Bains 2009, PMID: 19179300; Ye 2002, PMID: 11994448)"
k_nCD8_pro,320000000,cell/day,"rate of nCD8 proliferation (Braber 2012, PMID: 22365666)"
