Parameter,Reaction,ReactionRate,Rule,RuleType,OtherParameters,OtherSpeciesWithNotes
gamma_LN_aPDL1,V_C.aPDL1 <-> V_LN.aPDL1,q_LN_aPDL1*(V_C.aPDL1/gamma_C_aPDL1-V_LN.aPDL1/gamma_LN_aPDL1),,,"['q_LN_aPDL1','gamma_C_aPDL1']","[{""name"":""V_C.aPDL1"",""compartment"":""V_C"",""notes"":""Concentration of aPDL1 in central compartment""},{""name"":""V_LN.aPDL1"",""compartment"":""V_LN"",""notes"":""Concentration of aPDL1 in lymph node compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
gamma_LN_aPDL1,V_LN.aPDL1 -> V_C.aPDL1,q_LD_aPDL1*V_T*V_LN.aPDL1/gamma_LN_aPDL1,,,"['q_LD_aPDL1']","[{""name"":""V_C.aPDL1"",""compartment"":""V_C"",""notes"":""Concentration of aPDL1 in central compartment""},{""name"":""V_LN.aPDL1"",""compartment"":""V_LN"",""notes"":""Concentration of aPDL1 in lymph node compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
gamma_LN_aPDL1,syn_CD8_APC.PDL1 <-> syn_CD8_APC.PDL1_aPDL1,2*kon_PDL1_aPDL1*(syn_CD8_APC.PDL1 * V_LN.aPDL1/gamma_LN_aPDL1) -  koff_PDL1_aPDL1*syn_CD8_APC.PDL1_aPDL1,,,"['kon_PDL1_aPDL1','koff_PDL1_aPDL1']","[{""name"":""V_LN.aPDL1"",""compartment"":""V_LN"",""notes"":""Concentration of aPDL1 in lymph node compartment""},{""name"":""syn_CD8_APC.PDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_CD8_APC.PDL1_aPDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1-aPDL1 complex""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
gamma_LN_aPDL1,syn_CD8_APC.TPDL1 <-> syn_CD8_APC.TPDL1_aPDL1,2*kon_PDL1_aPDL1*(syn_CD8_APC.TPDL1 * V_LN.aPDL1/gamma_LN_aPDL1) -  koff_PDL1_aPDL1*syn_CD8_APC.TPDL1_aPDL1,,,"['kon_PDL1_aPDL1','koff_PDL1_aPDL1']","[{""name"":""V_LN.aPDL1"",""compartment"":""V_LN"",""notes"":""Concentration of aPDL1 in lymph node compartment""},{""name"":""syn_CD8_APC.TPDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1 in synapse of T cell""},{""name"":""syn_CD8_APC.TPDL1_aPDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of TPDL1-aPDL1 complex""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
gamma_P_aCTLA4,V_C.aCTLA4 <-> V_P.aCTLA4,q_P_aCTLA4*(V_C.aCTLA4/gamma_C_aCTLA4-V_P.aCTLA4/gamma_P_aCTLA4),,,"['q_P_aCTLA4','gamma_C_aCTLA4']","[{""name"":""V_C.aCTLA4"",""compartment"":""V_C"",""notes"":""Concentration of aCTLA4 in central compartment""},{""name"":""V_P.aCTLA4"",""compartment"":""V_P"",""notes"":""Concentration of aCTLA4 in peripheral compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_P"",""compartment"":""V_P"",""notes"":""Peripheral compartment (P) (estimated)""}]"
gamma_P_aPD1,V_C.aPD1 <-> V_P.aPD1,q_P_aPD1*(V_C.aPD1/gamma_C_aPD1-V_P.aPD1/gamma_P_aPD1),,,"['q_P_aPD1','gamma_C_aPD1']","[{""name"":""V_C.aPD1"",""compartment"":""V_C"",""notes"":""Concentration of aPD1 in central compartment""},{""name"":""V_P.aPD1"",""compartment"":""V_P"",""notes"":""Concentration of aPD1 in peripheral compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_P"",""compartment"":""V_P"",""notes"":""Peripheral compartment (P) (estimated)""}]"
gamma_P_aPDL1,V_C.aPDL1 <-> V_P.aPDL1,q_P_aPDL1*(V_C.aPDL1/gamma_C_aPDL1-V_P.aPDL1/gamma_P_aPDL1),,,"['q_P_aPDL1','gamma_C_aPDL1']","[{""name"":""V_C.aPDL1"",""compartment"":""V_C"",""notes"":""Concentration of aPDL1 in central compartment""},{""name"":""V_P.aPDL1"",""compartment"":""V_P"",""notes"":""Concentration of aPDL1 in peripheral compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_P"",""compartment"":""V_P"",""notes"":""Peripheral compartment (P) (estimated)""}]"
gamma_T_aCTLA4,V_C.aCTLA4 <-> V_T.aCTLA4,q_T_aCTLA4*(V_C.aCTLA4/gamma_C_aCTLA4-V_T.aCTLA4/gamma_T_aCTLA4),,,"['q_T_aCTLA4','gamma_C_aCTLA4']","[{""name"":""V_C.aCTLA4"",""compartment"":""V_C"",""notes"":""Concentration of aCTLA4 in central compartment""},{""name"":""V_T.aCTLA4"",""compartment"":""V_T"",""notes"":""Concentration of aCTLA4 in tumour compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
gamma_T_aCTLA4,V_T.aCTLA4 -> V_LN.aCTLA4,q_LD_aCTLA4*V_T*V_T.aCTLA4/gamma_T_aCTLA4,,,"['q_LD_aCTLA4']","[{""name"":""V_LN.aCTLA4"",""compartment"":""V_LN"",""notes"":""Concentration of aCTLA4 in lymph node compartment""},{""name"":""V_T.aCTLA4"",""compartment"":""V_T"",""notes"":""Concentration of aCTLA4 in tumour compartment""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
gamma_T_aCTLA4,syn_CD8_C1.CTLA4 <-> syn_CD8_C1.CTLA4_aCTLA4,4*kon_CTLA4_aCTLA4*(syn_CD8_C1.CTLA4 * V_T.aCTLA4/gamma_T_aCTLA4) -  koff_CTLA4_aCTLA4*syn_CD8_C1.CTLA4_aCTLA4,,,"['kon_CTLA4_aCTLA4','koff_CTLA4_aCTLA4']","[{""name"":""V_T.aCTLA4"",""compartment"":""V_T"",""notes"":""Concentration of aCTLA4 in tumour compartment""},{""name"":""syn_CD8_C1.CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_C1.CTLA4_aCTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4-aCTLA4 complex""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
gamma_T_aPD1,V_C.aPD1 <-> V_T.aPD1,q_T_aPD1*(V_C.aPD1/gamma_C_aPD1-V_T.aPD1/gamma_T_aPD1),,,"['q_T_aPD1','gamma_C_aPD1']","[{""name"":""V_C.aPD1"",""compartment"":""V_C"",""notes"":""Concentration of aPD1 in central compartment""},{""name"":""V_T.aPD1"",""compartment"":""V_T"",""notes"":""Concentration of aPD1 in tumour compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
gamma_T_aPD1,V_T.aPD1 -> V_LN.aPD1,q_LD_aPD1*V_T*V_T.aPD1/gamma_T_aPD1,,,"['q_LD_aPD1']","[{""name"":""V_LN.aPD1"",""compartment"":""V_LN"",""notes"":""Concentration of aPD1 in lymph node compartment""},{""name"":""V_T.aPD1"",""compartment"":""V_T"",""notes"":""Concentration of aPD1 in tumour compartment""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
gamma_T_aPD1,syn_CD8_C1.PD1 <-> syn_CD8_C1.PD1_aPD1,2*kon_PD1_aPD1*(syn_CD8_C1.PD1 * V_T.aPD1/gamma_T_aPD1) -  koff_PD1_aPD1*syn_CD8_C1.PD1_aPD1,,,"['kon_PD1_aPD1','koff_PD1_aPD1']","[{""name"":""V_T.aPD1"",""compartment"":""V_T"",""notes"":""Concentration of aPD1 in tumour compartment""},{""name"":""syn_CD8_C1.PD1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PD1 in synapse""},{""name"":""syn_CD8_C1.PD1_aPD1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PD1-aPD1 complex""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
gamma_T_aPD1,syn_M_C.PD1 <-> syn_M_C.PD1_aPD1,2*kon_PD1_aPD1*(syn_M_C.PD1 * V_T.aPD1/gamma_T_aPD1) -  koff_PD1_aPD1*syn_M_C.PD1_aPD1,,,"['kon_PD1_aPD1','koff_PD1_aPD1']","[{""name"":""V_T.aPD1"",""compartment"":""V_T"",""notes"":""Concentration of aPD1 in tumour compartment""},{""name"":""syn_M_C.PD1"",""compartment"":""syn_M_C"",""notes"":""concentration of PD1 in synapse""},{""name"":""syn_M_C.PD1_aPD1"",""compartment"":""syn_M_C"",""notes"":""concentration of PD1-aPD1 complex""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
gamma_T_aPDL1,V_C.aPDL1 <-> V_T.aPDL1,q_T_aPDL1*(V_C.aPDL1/gamma_C_aPDL1-V_T.aPDL1/gamma_T_aPDL1),,,"['q_T_aPDL1','gamma_C_aPDL1']","[{""name"":""V_C.aPDL1"",""compartment"":""V_C"",""notes"":""Concentration of aPDL1 in central compartment""},{""name"":""V_T.aPDL1"",""compartment"":""V_T"",""notes"":""Concentration of aPDL1 in tumour compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
gamma_T_aPDL1,V_T.aPDL1 -> V_LN.aPDL1,q_LD_aPDL1*V_T*V_T.aPDL1/gamma_T_aPDL1,,,"['q_LD_aPDL1']","[{""name"":""V_LN.aPDL1"",""compartment"":""V_LN"",""notes"":""Concentration of aPDL1 in lymph node compartment""},{""name"":""V_T.aPDL1"",""compartment"":""V_T"",""notes"":""Concentration of aPDL1 in tumour compartment""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
gamma_T_aPDL1,syn_CD8_C1.PDL1 <-> syn_CD8_C1.PDL1_aPDL1,2*kon_PDL1_aPDL1*(syn_CD8_C1.PDL1 * V_T.aPDL1/gamma_T_aPDL1) -  koff_PDL1_aPDL1*syn_CD8_C1.PDL1_aPDL1,,,"['kon_PDL1_aPDL1','koff_PDL1_aPDL1']","[{""name"":""V_T.aPDL1"",""compartment"":""V_T"",""notes"":""Concentration of aPDL1 in tumour compartment""},{""name"":""syn_CD8_C1.PDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_CD8_C1.PDL1_aPDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1-aPDL1 complex""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
gamma_T_aPDL1,syn_CD8_C1.TPDL1 <-> syn_CD8_C1.TPDL1_aPDL1,2*kon_PDL1_aPDL1*(syn_CD8_C1.TPDL1 * V_T.aPDL1/gamma_T_aPDL1) -  koff_PDL1_aPDL1*syn_CD8_C1.TPDL1_aPDL1,,,"['kon_PDL1_aPDL1','koff_PDL1_aPDL1']","[{""name"":""V_T.aPDL1"",""compartment"":""V_T"",""notes"":""Concentration of aPDL1 in tumour compartment""},{""name"":""syn_CD8_C1.TPDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1 in synapse of T cell""},{""name"":""syn_CD8_C1.TPDL1_aPDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of TPDL1-aPDL1 complex""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
gamma_T_aPDL1,syn_M_C.PDL1 <-> syn_M_C.PDL1_aPDL1,2*kon_PDL1_aPDL1*(syn_M_C.PDL1 * V_T.aPDL1/gamma_T_aPDL1) -  koff_PDL1_aPDL1*syn_M_C.PDL1_aPDL1,,,"['kon_PDL1_aPDL1','koff_PDL1_aPDL1']","[{""name"":""V_T.aPDL1"",""compartment"":""V_T"",""notes"":""Concentration of aPDL1 in tumour compartment""},{""name"":""syn_M_C.PDL1"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_M_C.PDL1_aPDL1"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL1-aPDL1 complex""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
k_APC_death,null -> V_LN.APC,k_APC_death*(APC0_LN*V_LN-V_LN.APC),,,"['APC0_LN']","[{""name"":""V_LN.APC"",""compartment"":""V_LN"",""notes"":""Number of naive antigen presenting cells in the lymph node""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
k_APC_death,null -> V_T.APC,k_APC_death*(APC0_T*V_T-V_T.APC),,,"['APC0_T']","[{""name"":""V_T.APC"",""compartment"":""V_T"",""notes"":""Number of naive antigen presenting cells in the tumour""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_APC_mat,V_T.APC -> V_T.mAPC,k_APC_mat*V_T.APC*H_IL12*(1-H_IL10),,,"['H_IL10','H_IL12']","[{""name"":""V_T.APC"",""compartment"":""V_T"",""notes"":""Number of naive antigen presenting cells in the tumour""},{""name"":""V_T.mAPC"",""compartment"":""V_T"",""notes"":""Number of mature antigen presenting cells in the tumour""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_APC_mig,V_T.mAPC -> V_LN.mAPC,k_APC_mig*V_T.mAPC,,,"[]","[{""name"":""V_LN.mAPC"",""compartment"":""V_LN"",""notes"":""Number of mature antigen presenting cells in the lymph node""},{""name"":""V_T.mAPC"",""compartment"":""V_T"",""notes"":""Number of mature antigen presenting cells in the tumour""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_ArgI_deg,V_T.ArgI -> null,k_ArgI_deg*V_T.ArgI,,,"[]","[{""name"":""V_T.ArgI"",""compartment"":""V_T"",""notes"":""Concentration of Arg I in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_ArgI_sec,null -> V_T.ArgI,k_ArgI_sec*V_T.MDSC,,,"[]","[{""name"":""V_T.ArgI"",""compartment"":""V_T"",""notes"":""Concentration of Arg I in the tumor compartment""},{""name"":""V_T.MDSC"",""compartment"":""V_T"",""notes"":""Number of MDSCs in the tumour compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_C1_death,,,R_Tcell = 0*cell/day+(k_C1_death+k_C1_therapy)*V_T.C1+k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)+k_M1_phago*V_T.C1*V_T.Mac_M1/(V_T.Mac_M1+K_Mac_C*C_total+cell)*(1-H_Mac_C)*(1-H_IL10_phago),repeatedAssignment,"['cell','day','C_total','R_Tcell','Tregs_','H_PD1_C1','k_C1_therapy','k_C_CD8','H_ECM_T_mot','K_T_C','K_T_Treg','H_TGFb_Teff','k_M1_phago','H_Mac_C','K_Mac_C','H_IL10_phago']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_C1_death,V_T.C1 -> V_T.C_x,k_C1_death*V_T.C1,,,"[]","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.C_x"",""compartment"":""V_T"",""notes"":""Dead cancer cells in the tumour compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_C1_death,null -> V_T.P0,n_Treg_clones*(P0_C1*(k_C1_death+k_C1_therapy)*C1+P0_C1*k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_MDSC)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)),,,"['cell','C_total','Tregs_','H_PD1_C1','k_C1_therapy','n_Treg_clones','k_C_CD8','H_ECM_T_mot','K_T_C','K_T_Treg','P0_C1','H_TGFb_Teff','H_MDSC']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.P0"",""compartment"":""V_T"",""notes"":""Concentration of  free antigen (P0) in the LN compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_C1_death,null -> V_T.P1,n_CD8_clones*(P1_C1*(k_C1_death+k_C1_therapy)*C1+P1_C1*k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_MDSC)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)),,,"['cell','C_total','Tregs_','H_PD1_C1','k_C1_therapy','n_CD8_clones','k_C_CD8','H_ECM_T_mot','K_T_C','K_T_Treg','P1_C1','H_TGFb_Teff','H_MDSC']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.P1"",""compartment"":""V_T"",""notes"":""Concentration of  free antigen (P1) in the LN compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_C1_growth,null -> V_T.C1,k_C1_growth*V_T.C1*(1-C_total/C_max),,,"['C_total','C_max']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_C1_therapy,,,R_Tcell = 0*cell/day+(k_C1_death+k_C1_therapy)*V_T.C1+k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)+k_M1_phago*V_T.C1*V_T.Mac_M1/(V_T.Mac_M1+K_Mac_C*C_total+cell)*(1-H_Mac_C)*(1-H_IL10_phago),repeatedAssignment,"['cell','day','C_total','R_Tcell','Tregs_','H_PD1_C1','k_C1_death','k_C_CD8','H_ECM_T_mot','K_T_C','K_T_Treg','H_TGFb_Teff','k_M1_phago','H_Mac_C','K_Mac_C','H_IL10_phago']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_C1_therapy,,,k_C1_therapy = 0/day,repeatedAssignment,"['day']","[]"
k_C1_therapy,null -> V_T.P0,n_Treg_clones*(P0_C1*(k_C1_death+k_C1_therapy)*C1+P0_C1*k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_MDSC)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)),,,"['cell','C_total','Tregs_','H_PD1_C1','k_C1_death','n_Treg_clones','k_C_CD8','H_ECM_T_mot','K_T_C','K_T_Treg','P0_C1','H_TGFb_Teff','H_MDSC']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.P0"",""compartment"":""V_T"",""notes"":""Concentration of  free antigen (P0) in the LN compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_C1_therapy,null -> V_T.P1,n_CD8_clones*(P1_C1*(k_C1_death+k_C1_therapy)*C1+P1_C1*k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_MDSC)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)),,,"['cell','C_total','Tregs_','H_PD1_C1','k_C1_death','n_CD8_clones','k_C_CD8','H_ECM_T_mot','K_T_C','K_T_Treg','P1_C1','H_TGFb_Teff','H_MDSC']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.P1"",""compartment"":""V_T"",""notes"":""Concentration of  free antigen (P1) in the LN compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_CAF_death,V_T.CAF -> null,k_CAF_death*V_T.CAF,,,"[]","[{""name"":""V_T.CAF"",""compartment"":""V_T"",""notes"":""Number of CAFs in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_CCL2_deg,V_T.CCL2 -> null,k_CCL2_deg*V_T.CCL2,,,"[]","[{""name"":""V_T.CCL2"",""compartment"":""V_T"",""notes"":""Concentration of CCL2 in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_CCL2_sec,null -> V_T.CCL2,k_CCL2_sec*C_total,,,"['C_total']","[{""name"":""V_T.CCL2"",""compartment"":""V_T"",""notes"":""Concentration of CCL2 in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
k_CD4_death,V_C.Th -> null,k_CD4_death*V_C.Th,,,"[]","[{""name"":""V_C.Th"",""compartment"":""V_C"",""notes"":""Number of Th cells in the central compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""}]"
k_CD4_death,V_C.Treg -> null,k_CD4_death*V_C.Treg,,,"[]","[{""name"":""V_C.Treg"",""compartment"":""V_C"",""notes"":""Number of Treg cells in the central compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""}]"
k_CD4_death,V_LN.Th -> null,k_CD4_death*V_LN.Th,,,"[]","[{""name"":""V_LN.Th"",""compartment"":""V_LN"",""notes"":""Number of Th cells in the lymph node compartment""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
k_CD4_death,V_LN.Treg -> null,k_CD4_death*V_LN.Treg,,,"[]","[{""name"":""V_LN.Treg"",""compartment"":""V_LN"",""notes"":""Number of Treg cells in the lymph node compartment""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
k_CD4_death,V_P.Th -> null,k_CD4_death*V_P.Th,,,"[]","[{""name"":""V_P.Th"",""compartment"":""V_P"",""notes"":""Number of Th cells in the peripheral compartment""},{""name"":""V_P"",""compartment"":""V_P"",""notes"":""Peripheral compartment (P) (estimated)""}]"
