Parameter,Reaction,ReactionRate,Rule,RuleType,OtherParameters,OtherSpeciesWithNotes
C1_PDL1_base,null -> syn_M_C.PDL2,k_out_PDL1*r_PDL2C1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_M_C.PDL2_total/(C1_PDL1_base*r_PDL1_IFNg/A_cell*r_PDL2C1)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','r_PDL2C1','IFNg_50_ind']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_M_C.PDL2"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_M_C.PDL2_total"",""compartment"":""syn_M_C"",""notes"":""concentration of bound and unbound PDL2 molecules ""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
CCL2_50,null -> V_T.MDSC,k_MDSC_rec*V_T*(V_T.CCL2/(V_T.CCL2 + CCL2_50)),,,"['k_MDSC_rec']","[{""name"":""V_T.CCL2"",""compartment"":""V_T"",""notes"":""Concentration of CCL2 in the tumor compartment""},{""name"":""V_T.MDSC"",""compartment"":""V_T"",""notes"":""Number of MDSCs in the tumour compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
CCL2_50,null -> V_T.Mac_M1,k_Mac_rec*V_T*(V_T.CCL2/(V_T.CCL2 + CCL2_50)),,,"['k_Mac_rec']","[{""name"":""V_T.CCL2"",""compartment"":""V_T"",""notes"":""Concentration of CCL2 in the tumor compartment""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
CD28_CD8X_50,,,H_CD28_APC = ((syn_CD8_APC.CD28_CD80 + syn_CD8_APC.CD28_CD86 + 2*syn_CD8_APC.CD28_CD80_CD28 + syn_CD8_APC.PDL1_CD80_CD28)/CD28_CD8X_50)^n_CD28_CD8X/(((syn_CD8_APC.CD28_CD80 + syn_CD8_APC.CD28_CD86 + 2*syn_CD8_APC.CD28_CD80_CD28 + syn_CD8_APC.PDL1_CD80_CD28)/CD28_CD8X_50)^n_CD28_CD8X + 1),repeatedAssignment,"['H_CD28_APC','n_CD28_CD8X']","[{""name"":""syn_CD8_APC.CD28_CD80"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD28-CD80 complex""},{""name"":""syn_CD8_APC.CD28_CD80_CD28"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD28-CD80-CD28 complex""},{""name"":""syn_CD8_APC.CD28_CD86"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD28-CD86 complex""},{""name"":""syn_CD8_APC.PDL1_CD80_CD28"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1-CD80-CD28 complex""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
CD28_CD8X_50,,,H_CD28_C1 = ((syn_CD8_C1.CD28_CD80 + syn_CD8_C1.CD28_CD86 + 2*syn_CD8_C1.CD28_CD80_CD28 + syn_CD8_C1.PDL1_CD80_CD28)/CD28_CD8X_50)^n_CD28_CD8X/(((syn_CD8_C1.CD28_CD80 + syn_CD8_C1.CD28_CD86 + 2*syn_CD8_C1.CD28_CD80_CD28 + syn_CD8_C1.PDL1_CD80_CD28)/CD28_CD8X_50)^n_CD28_CD8X + 1),repeatedAssignment,"['H_CD28_C1','n_CD28_CD8X']","[{""name"":""syn_CD8_C1.CD28_CD80"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD28-CD80 complex""},{""name"":""syn_CD8_C1.CD28_CD80_CD28"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD28-CD80-CD28 complex""},{""name"":""syn_CD8_C1.CD28_CD86"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD28-CD86 complex""},{""name"":""syn_CD8_C1.PDL1_CD80_CD28"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1-CD80-CD28 complex""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
CD8_CD28_total,,,syn_CD8_APC.CD28 = CD8_CD28_total /A_Tcell,initialAssignment,"['A_Tcell']","[{""name"":""syn_CD8_APC.CD28"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD28 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
CD8_CD28_total,,,syn_CD8_C1.CD28 = CD8_CD28_total /A_Tcell,initialAssignment,"['A_Tcell']","[{""name"":""syn_CD8_C1.CD28"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD28 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
CD8_CTLA4_syn,,,syn_CD8_APC.CTLA4 = CD8_CTLA4_syn /A_Tcell,initialAssignment,"['A_Tcell']","[{""name"":""syn_CD8_APC.CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
CD8_CTLA4_syn,,,syn_CD8_C1.CTLA4 = CD8_CTLA4_syn /A_Tcell,initialAssignment,"['A_Tcell']","[{""name"":""syn_CD8_C1.CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
CD8_PD1_total,,,syn_CD8_APC.PD1 = CD8_PD1_total /A_Tcell,initialAssignment,"['A_Tcell']","[{""name"":""syn_CD8_APC.PD1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PD1 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
CD8_PD1_total,,,syn_CD8_C1.PD1 = CD8_PD1_total /A_Tcell,initialAssignment,"['A_Tcell']","[{""name"":""syn_CD8_C1.PD1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PD1 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
CD8_PDL1_total,,,syn_CD8_APC.TPDL1 = CD8_PDL1_total /A_Tcell,initialAssignment,"['A_Tcell']","[{""name"":""syn_CD8_APC.TPDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1 in synapse of T cell""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
CD8_PDL1_total,,,syn_CD8_C1.TPDL1 = CD8_PDL1_total /A_Tcell,initialAssignment,"['A_Tcell']","[{""name"":""syn_CD8_C1.TPDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1 in synapse of T cell""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
C_CD47,,,syn_M_C.CD47 = C_CD47,initialAssignment,"[]","[{""name"":""syn_M_C.CD47"",""compartment"":""syn_M_C"",""notes"":""concentration of CD47 on cancer cell in the synapse""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
C_max,,,C_max = V_T.K,repeatedAssignment,"[]","[{""name"":""V_T.K"",""compartment"":""V_T"",""notes"":""""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_max,null -> V_T.C1,k_C1_growth*V_T.C1*(1-C_total/C_max),,,"['C_total','k_C1_growth']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,,,C_total = 0*cell + V_T.C1,repeatedAssignment,"['cell']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
